airport;airportname;city;state;latitude;longitude;altitude;operation
SDOW;OURILÂNDIA DO NORTE;OURILÂNDIA DO NORTE;PA;6° 45' 44'' S;51° 3' 0'' W;229 m;VFR Diurno/Noturno
SDPD;PINDAMONHANGABA;PINDAMONHANGABA;SP;22° 56' 37'' S;45° 25' 53'' W;585 m;VFR Diurno
SDPN;PENÁPOLIS;PENÁPOLIS;SP;21° 24' 37'' S;50° 1' 55'' W;418 m;VFR Diurno/Noturno
SDPV;PRESIDENTE VENCESLAU;PRESIDENTE VENCESLAU;SP;21° 53' 36'' S;51° 53' 4'' W;445 m;VFR Diurno
SDPW;PEDRO MORGANTI;PIRACICABA;SP;22° 42' 38'' S;47° 37' 10'' W;575 m;VFR Diurno/Noturno
SDPY;PIRASSUNUNGA;PIRASSUNUNGA;SP;22° 1' 35'' S;47° 25' 10'' W;683 m;VFR Diurno
SDRK;RIO CLARO;RIO CLARO;SP;22° 25' 50'' S;47° 33' 49'' W;607 m;VFR Diurno
SDRR;AVARÉ-ARANDU;AVARÉ;SP;23° 5' 35'' S;48° 59' 3'' W;810 m;VFR Diurno/Noturno
SDRS;RESENDE;RESENDE;RJ;22° 28' 43'' S;44° 28' 54'' W;402 m;VFR Diurno
SDSC;MÁRIO PEREIRA LOPES;SÃO CARLOS;SP;21° 52' 35'' S;47° 54' 12'' W;807 m;VFR Diurno
SBSO;REGIONAL DE SORRISO ADOLINO BEDIN (SDSS*);SORRISO;MT;12° 28' 22'' S;55° 40' 8'' W;386 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SDTB;ATIBAIA;ATIBAIA;SP;23° 7' 42'' S;46° 34' 29'' W;797 m;VFR Diurno
SDTF;TATUÍ;TATUÍ;SP;23° 19' 55'' S;47° 52' 48'' W;635 m;VFR Diurno
SDTI;TUPI PAULISTA;TUPI PAULISTA;SP;21° 23' 35'' S;51° 35' 56'' W;365 m;VFR Diurno
SDTK;PARATI;PARATI;RJ;23° 13' 28'' S;44° 43' 13'' W;3 m;VFR Diurno
SDTP;JOSÉ VICENTE FARIA LIMA;TUPÃ;SP;21° 53' 24'' S;50° 30' 21'' W;550 m;VFR Diurno
SDUB;UBATUBA;UBATUBA;SP;23° 26' 29'' S;45° 4' 34'' W;4 m;VFR Diurno
SDUN;ITAPERUNA;ITAPERUNA;RJ;21° 13' 10'' S;41° 52' 32'' W;125 m;VFR Diurno
SDUQ;PARAGUAÇU PAULISTA;PARAGUAÇU PAULISTA;SP;22° 25' 37'' S;50° 36' 25'' W;476 m;VFR Diurno
SDVE;VERA CRUZ;VERA CRUZ;SP;22° 13' 49'' S;49° 49' 7'' W;640 m;VFR Diurno
SDVG;DOMINGOS PIGNATARI;VOTUPORANGA;SP;20° 27' 26'' S;50° 0' 9'' W;508 m;VFR Diurno
SDWQ;ALENQUER;ALENQUER;PA;1° 55' 1'' S;54° 43' 22'' W;30,87 m;VFR Diurno
SDXB;CRISTALINA;CRISTALINA;GO;16° 47' 23'' S;47° 38' 36'' W;1200 m;VFR Diurno
SDXF;ALTO PARAÍSO DE GOIÁS;ALTO PARAÍSO DE GOIÁS;GO;14° 17' 57'' S;47° 30' 36'' W;1345 m;VFR Diurno
SDXJ;COSTA RICA;COSTA RICA;MS;18° 29' 29'' S;53° 10' 6'' W;738 m;VFR Diurno
SDYW;ITAPEVA;ITAPEVA;SP;23° 56' 30'' S;48° 52' 58'' W;707 m;VFR Diurno
SDZG;PEDRO TEIXEIRA CASTELO REGIONAL TAUÁ;TAUÁ;CE;5° 56' 0'' S;40° 17' 51'' W;450,98 m;VFR Diurno/Noturno
SIBU;CATOLÉ DO ROCHA;CATOLÉ DO ROCHA;PB;6° 21' 16'' S;37° 45' 18'' W;272 m;VFR Diurno
SIBW;CONCEIÇÃO;CONCEIÇÃO;PB;7° 33' 45'' S;38° 29' 51'' W;370 m;VFR Diurno
SIBY;MONTEIRO;MONTEIRO;PB;7° 52' 42'' S;37° 8' 12'' W;619 m;VFR Diurno
SIBZ;ITAPORANGA;ITAPORANGA;PB;7° 18' 30'' S;38° 6' 48'' W;292 m;VFR Diurno
SICA;BREJO DAS FREIRAS;SÃO JOÃO DO RIO DO PEIXE;PB;6° 42' 15'' S;38° 30' 10'' W;310 m;VFR Diurno
SICB;PEDRO SIMÕES PIMENTA;CUITÉ;PB;6° 29' 15'' S;36° 8' 24'' W;652 m;VFR Diurno
SIFH;SANTA RITA DO ARAGUAIA;SANTA RITA DO ARAGUAIA;GO;17° 19' 31'' S;53° 11' 49'' W;751 m;VFR Diurno
SILC;AEROPORTO MUNICIPAL BOM FUTURO ;LUCAS DO RIO VERDE;MT;13° 2' 14'' S;55° 56' 32'' W;515 m;VFR Diurno
SIMK;TENENTE LUND PRESSOTO;FRANCA;SP;20° 35' 25'' S;47° 22' 57'' W;1003 m;VFR Diurno/Noturno
SIZX;JUARA SUL;JUARA;MT;11° 17' 12'' S;57° 32' 20'' W;302 m;VFR Diurno
SJAU;ARAGUACEMA;ARAGUACEMA;TO;8° 50' 16'' S;49° 33' 28'' W;207 m;VFR Diurno
SJBY;JOÃO SILVA;SANTA INÊS;MA;3° 39' 14'' S;45° 20' 42'' W;25 m;VFR Diurno
SJGU;ARAGUATINS;ARAGUATINS;TO;5° 41' 4'' S;48° 6' 56'' W;125 m;VFR Diurno/Noturno
SBJA;REGIONAL SUL;JAGUARUNA;SC;28° 40' 31'' S;49° 3' 37'' W;35 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SJNP;NOVO PROGRESSO;NOVO PROGRESSO;PA;7° 7' 33'' S;55° 24' 3'' W;242 m;VFR Diurno
SJOG;ARIQUEMES;ARIQUEMES;RO;9° 53' 5'' S;63° 2' 56'' W;162 m;VFR Diurno
SJQN;QUIRINÓPOLIS;QUIRINÓPOLIS;GO;18° 26' 46'' S;50° 24' 33'' W;586 m;VFR Diurno
SJRG;REGIONAL DE RIO GRANDE;RIO GRANDE;RS;32° 4' 54'' S;52° 9' 48'' W;8 m;VFR Diurno/Noturno
SJTS;TERRA SANTA;TERRA SANTA;PA;2° 4' 22'' S;56° 29' 20'' W;25 m;VFR Diurno
SJTZ;DOM ELISEU;DOM ELISEU;PA;4° 18' 10'' S;47° 34' 54'' W;244 m;VFR Diurno
SJVO;ARAGARÇAS;ARAGARÇAS;GO;15° 53' 57'' S;52° 14' 43'' W;323 m;VFR Diurno
SJZA;PEDRO VIEIRA MOREIRA;CAJAZEIRAS;PB;6° 52' 58'' S;38° 36' 57'' W;335 m;VFR Diurno
SNAB;ARARIPINA;ARARIPINA;PE;7° 35' 40'' S;40° 31' 20'' W;669 m;VFR Diurno
SNAE;ARCOVERDE;ARCOVERDE;PE;8° 25' 2'' S;37° 5' 1'' W;634 m;VFR Diurno/Noturno
SNAG;ARAGUARI;ARAGUARI;MG;18° 40' 5'' S;48° 11' 25'' W;947 m;VFR Diurno
SNAL;ARAPIRACA;ARAPIRACA;AL;9° 46' 35'' S;36° 37' 50'' W;270 m;VFR Diurno/Noturno
SNAM;SANTO ANTÔNIO DO AMPARO;SANTO ANTÔNIO DO AMPARO;MG;20° 54' 41'' S;44° 53' 40'' W;1097 m;VFR Diurno/Noturno
SNAP;JANAÚBA;JANAÚBA;MG;15° 43' 59'' S;43° 19' 26'' W;528 m;VFR Diurno
SNAR;CIRILO QUEIRÓZ;ALMENARA;MG;16° 11' 2'' S;40° 40' 2'' W;195 m;VFR Diurno/Noturno
SNAS;TRÊS MARIAS;TRÊS MARIAS;MG;18° 13' 30'' S;45° 11' 26'' W;786 m;VFR Diurno
SNAT;ARACATI;ARACATI;CE;4° 34' 7'' S;37° 48' 17'' W;36 m;VFR Diurno/Noturno
SNAX;MARCELO PIRES HALZHAUSEN;ASSIS;SP;22° 38' 24'' S;50° 27' 11'' W;564 m;VFR Diurno/Noturno
SNBA;CHAFEI AMSEI (SBBT*);BARRETOS;SP;20° 35' 8'' S;48° 35' 45'' W;579 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SNBC;BARRA DO CORDA;BARRA DO CORDA;MA;5° 30' 9'' S;45° 12' 57'' W;155 m;VFR Diurno
SNBG;BAIXO GUANDU - AIMORÉS;BAIXO GUANDU;ES;19° 29' 56'' S;41° 2' 31'' W;80 m;VFR Diurno
SNBI;BACABAL;BACABAL;MA;4° 13' 59'' S;44° 49' 19'' W;20 m;VFR Diurno
SNBJ;BELO JARDIM;BELO JARDIM;PE;8° 20' 42'' S;36° 26' 28'' W;640 m;VFR Diurno
SNBL;BELMONTE;BELMONTE;BA;15° 52' 17'' S;38° 52' 21'' W;10 m;VFR Diurno
SNBM;CRISTIANO FERREIRA VARELLA;MURIAÉ;MG;21° 7' 44'' S;42° 22' 1'' W;270 m;VFR Diurno
SNBR;BARREIRAS;BARREIRAS;BA;12° 4' 45'' S;45° 0' 34'' W;748 m;VFR Diurno/Noturno
SNBS;BALSAS;BALSAS;MA;7° 31' 31'' S;46° 3' 12'' W;284 m;VFR Diurno
SNBT;BENEDITO LEITE;BENEDITO LEITE;MA;7° 13' 1'' S;44° 33' 2'' W;300 m;VFR Diurno
SNBX;BARRA;BARRA;BA;11° 4' 52'' S;43° 8' 51'' W;389 m;VFR Diurno
SNBZ;PARAMIRIM;PARAMIRIM;BA;13° 29' 26'' S;42° 13' 45'' W;627 m;VFR Diurno
SNCA;CAMPO BELO;CAMPO BELO;MG;20° 53' 33'' S;45° 20' 8'' W;970 m;VFR Diurno
SNCE;CAMPO DO MEIO;CAMPO DO MEIO;MG;21° 6' 22'' S;45° 48' 17'' W;780 m;VFR Diurno
SNCS;CAMPOS SALES;CAMPOS SALES;CE;7° 2' 58'' S;40° 21' 51'' W;610 m;VFR Diurno
SNCT;CARATINGA;UBAPORANGA;MG;19° 43' 31'' S;42° 6' 40'' W;599 m;VFR Diurno
SNCU;CURURUPU;CURURUPU;MA;1° 49' 16'' S;44° 52' 1'' W;12 m;VFR Diurno
SNCV;CAMPINA VERDE;CAMPINA VERDE;MG;19° 32' 17'' S;49° 29' 42'' W;550 m;VFR Diurno
SNCX;COLATINA;COLATINA;ES;19° 29' 15'' S;40° 34' 46'' W;153 m;VFR Diurno/Noturno
SNCZ;PONTE NOVA;PONTE NOVA;MG;20° 24' 11'' S;42° 55' 0'' W;572 m;VFR Diurno
SNDB;RURÓPOLIS;RURÓPOLIS;PA;4° 5' 8'' S;54° 54' 39'' W;99 m;VFR Diurno
SNDC;REDENÇÃO;REDENÇÃO;PA;8° 1' 52'' S;49° 58' 47'' W;207 m;VFR Diurno
SNDT;DIAMANTINA;DIAMANTINA;MG;18° 14' 0'' S;43° 39' 4'' W;1355 m;VFR Diurno
SNDV;BRIGADEIRO ANTÔNIO CABRAL;DIVINÓPOLIS;MG;20° 10' 55'' S;44° 52' 12'' W;795 m;VFR Diurno/Noturno
SNDW;DIVISA;ENCRUZILHADA;BA;15° 31' 10'' S;40° 52' 21'' W;826 m;VFR Diurno
SNEB;AERODROMO DE PARAGOMINAS;PARAGOMINAS;PA;3° 1' 11'' S;47° 18' 59'' W;135 m;VFR Diurno/Noturno
SNED;SÓCRATES REZENDE;CANAVIEIRAS;BA;15° 39' 59'' S;38° 57' 19'' W;6 m;VFR Diurno
SNEE;VACARIA NOVO;VACARIA;RS;28° 25' 55'' S;51° 1' 22'' W;900 m;VFR Diurno
SNEU;EUCLIDES DA CUNHA;EUCLIDES DA CUNHA;BA;10° 31' 39'' S;39° 1' 57'' W;462 m;VFR Diurno
SNFE;COMANDANTE PASCHOAL PATROCÍNIO FILHO;ALFENAS;MG;21° 25' 54'' S;45° 55' 59'' W;875 m;VFR Diurno/Noturno
SNFO;FORMIGA;FORMIGA;MG;20° 23' 43'' S;45° 29' 12'' W;1017 m;VFR Diurno
SNFU;FRUTAL;FRUTAL;MG;20° 0' 17'' S;48° 57' 32'' W;551 m;VFR Diurno
SNFX;SÃO FÉLIX DO XINGU;SÃO FÉLIX DO XINGU;PA;6° 38' 25'' S;51° 59' 24'' W;200 m;VFR Diurno
SNGA;GUARAPARI;GUARAPARI;ES;20° 39' 2'' S;40° 29' 32'' W;9 m;VFR Diurno/Noturno
SNGB;GILBUÉS;GILBUÉS;PI;9° 50' 1'' S;45° 22' 2'' W;450 m;VFR Diurno
SNGD;GUADALUPE;GUADALUPE;PI;6° 46' 56'' S;43° 34' 56'' W;172 m;VFR Diurno
SNGG;GURGUÉIA;BOM JESUS;PI;9° 3' 34'' S;44° 22' 9'' W;325 m;VFR Diurno
SNGI;GUANAMBI;GUANAMBI;BA;14° 12' 29'' S;42° 44' 46'' W;553 m;VFR Diurno/Noturno
SNGN;GARANHUNS;GARANHUNS;PE;8° 50' 4'' S;36° 28' 17'' W;772 m;VFR Diurno
SNGT;GENTIO DO OURO;GENTIO DO OURO;BA;11° 26' 30'' S;42° 31' 8'' W;1082 m;VFR Diurno
SNGX;GUAXUPÉ;GUAXUPÉ;MG;21° 19' 36'' S;46° 43' 49'' W;849 m;VFR Diurno/Noturno
SNHS;SANTA MAGALHÃES;SERRA TALHADA;PE;8° 3' 1'' S;38° 18' 31'' W;470 m;VFR Diurno
SNIB;ITABERABA;ITABERABA;BA;12° 30' 2'' S;40° 16' 2'' W;283 m;VFR Diurno
SNIC;IRECÊ;IRECÊ;BA;11° 20' 24'' S;41° 50' 49'' W;784 m;VFR Diurno/Noturno
SNIE;CAETITÉ;CAETITÉ;BA;14° 0' 44'' S;42° 29' 38'' W;976 m;VFR Diurno
SNIG;IGUATU;IGUATU;CE;6° 20' 52'' S;39° 17' 55'' W;213 m;VFR Diurno
SNIO;CIPÓ;CIPÓ;BA;11° 7' 31'' S;38° 29' 13'' W;223 m;VFR Diurno
SNIP;ITAPETINGA;ITAPETINGA;BA;15° 14' 40'' S;40° 16' 38'' W;270 m;VFR Diurno
SNIT;IBOTIRAMA;IBOTIRAMA;BA;12° 10' 11'' S;43° 13' 18'' W;426 m;VFR Diurno
SNIU;IPIAÚ;IPIAÚ;BA;14° 10' 24'' S;39° 41' 3'' W;132 m;VFR Diurno
SNJB;JACOBINA;JACOBINA;BA;11° 9' 47'' S;40° 33' 12'' W;489 m;VFR Diurno
SBFE;JOÃO DURVAL CARNEIRO;FEIRA DE SANTANA;BA;12° 12' 2'' S;38° 54' 23'' W;238 m;VFR Diurno/Noturno
SNJK;JEQUIÉ;JEQUIÉ;BA;13° 52' 40'' S;40° 4' 17'' W;197 m;VFR Diurno
SNJM;ELIAS BREDER;MANHUAÇU;MG;20° 15' 35'' S;42° 11' 2'' W;829 m;VFR Diurno
SNJN;JANUÁRIA;JANUÁRIA;MG;15° 28' 29'' S;44° 23' 11'' W;480 m;VFR Diurno
SNJO;AEROCLUBE DE JOÃO PESSOA;JOÃO PESSOA;PB;7° 5' 31'' S;34° 50' 33'' W;5 m;VFR Diurno
SNJP;JOÃO PINHEIRO;JOÃO PINHEIRO;MG;17° 47' 15'' S;46° 7' 12'' W;911 m;VFR Diurno
SNJQ;JEQUITINHONHA;JEQUITINHONHA;MG;16° 28' 20'' S;41° 1' 30'' W;260 m;VFR Diurno
SNJR;PREFEITO OCTÁVIO DE ALMEIDA NEVES;SÃO JOÃO DEL REI;MG;21° 5' 8'' S;44° 13' 31'' W;945 m;VFR Diurno/Noturno
SNKC;COCOS;COCOS;BA;14° 10' 2'' S;44° 33' 2'' W;613 m;VFR Diurno
SNKD;CONCEIÇÃO DO MATO DENTRO;CONCEIÇÃO DO MATO DENTRO;MG;19° 1' 13'' S;43° 26' 2'' W;669 m;VFR Diurno
SNKE;SANTANA DO ARAGUAIA;SANTANA DO ARAGUAIA;PA;9° 20' 7'' S;50° 21' 1'' W;182 m;VFR Diurno
SNKF;DAS BANDEIRINHAS;CONSELHEIRO LAFAIETE;MG;20° 44' 19'' S;43° 47' 53'' W;1060 m;VFR Diurno
SNKI;CACHOEIRO DO ITAPEMIRIM;CACHOEIRO DO ITAPEMIRIM;ES;20° 50' 7'' S;41° 11' 11'' W;78 m;VFR Diurno/Noturno
SNKK;CAICÓ;CAICÓ;RN;6° 26' 21'' S;37° 4' 41'' W;182 m;VFR Diurno
SNKN;CURRAIS NOVOS;CURRAIS NOVOS;RN;6° 16' 51'' S;36° 32' 26'' W;365 m;VFR Diurno
SNKO;BROTAS DE MACAÚBAS;BROTAS DE MACAÚBAS;BA;12° 1' 15'' S;42° 37' 30'' W;813 m;VFR Diurno
SNKR;CORRENTE;CORRENTE;PI;10° 27' 7'' S;45° 8' 11'' W;473 m;VFR Diurno
SNKS;SANTA RITA DE CÁSSIA;SANTA RITA DE CÁSSIA;BA;10° 59' 21'' S;44° 30' 55'' W;458 m;VFR Diurno
SNKU;CANUDOS;CANUDOS;BA;9° 54' 11'' S;39° 1' 58'' W;372 m;VFR Diurno
SNLI;DOUTOR JOSÉ MOURÃO;ABAETÉ;MG;19° 9' 26'' S;45° 29' 45'' W;664 m;VFR Diurno
SNLN;MUNICIPAL DE LINHARES;LINHARES;ES;19° 21' 19'' S;40° 4' 10'' W;40 m;VFR Diurno/Noturno
SNLO;SÃO LOURENÇO;SÃO LOURENÇO;MG;22° 5' 30'' S;45° 2' 43'' W;875 m;VFR Diurno
SNLT;PAULISTANA;PAULISTANA;PI;8° 9' 59'' S;41° 9' 14'' W;360 m;VFR Diurno
SNMA;MONTE ALEGRE;MONTE ALEGRE;PA;1° 59' 48'' S;54° 4' 17'' W;99 m;VFR Diurno
SNMC;MACAÚBAS;MACAÚBAS;BA;13° 1' 30'' S;42° 40' 20'' W;641 m;VFR Diurno
SNMH;PIRENÓPOLIS;PIRENÓPOLIS;GO;15° 50' 53'' S;48° 58' 49'' W;785 m;VFR Diurno
SNMJ;MARACÁS;MARACÁS;BA;13° 23' 10'' S;40° 27' 58'' W;962 m;VFR Diurno
SNMK;MOCAMBINHO;JAÍBA;MG;15° 5' 36'' S;43° 58' 46'' W;463 m;VFR Diurno
SNMM;MORADA NOVA DE MINAS;MORADA NOVA DE MINAS;MG;18° 35' 38'' S;45° 21' 11'' W;606 m;VFR Diurno
SNMN;MINAS NOVAS;MINAS NOVAS;MG;17° 14' 2'' S;42° 35' 2'' W;750 m;VFR Diurno
SNMR;MARAÚ;MARAÚ;BA;14° 7' 2'' S;38° 59' 2'' W;20 m;VFR Diurno
SNMX;SÃO MATEUS;SÃO MATEUS;ES;18° 43' 17'' S;39° 50' 1'' W;30 m;VFR Diurno/Noturno
SNMZ;PORTO DE MOZ;PORTO DE MOZ;PA;1° 44' 29'' S;52° 14' 9'' W;16 m;VFR Diurno
SNNE;SEBASTIÃO CARLOS LEITE;SÃO JOÃO NEPOMUCENO;MG;21° 32' 32'' S;43° 1' 16'' W;403 m;VFR Diurno
SNNH;CARINHANHA;CARINHANHA;BA;14° 18' 12'' S;43° 46' 32'' W;452 m;VFR Diurno
SNNU;NANUQUE;NANUQUE;MG;17° 49' 2'' S;40° 20' 2'' W;180 m;VFR Diurno
SNOB;VIRGÍLIO TÁVORA;SOBRAL;CE;3° 40' 42'' S;40° 20' 13'' W;64 m;VFR Diurno
SNOC;MORRO DO CHAPÉU;MORRO DO CHAPÉU;BA;11° 32' 4'' S;41° 10' 47'' W;1100 m;VFR Diurno
SNOE;OEIRAS;OEIRAS;PI;7° 1' 8'' S;42° 10' 2'' W;250 m;VFR Diurno
SNOF;OURO FINO;OURO FINO;MG;22° 17' 51'' S;46° 23' 36'' W;859 m;VFR Diurno
SNOS;MUNICIPAL JOSÉ FIGUEIREDO;PASSOS;MG;20° 44' 0'' S;46° 39' 35'' W;822 m;VFR Diurno/Noturno
SNOU;NOVO AERÓDROMO DE FEIJÓ;FEIJÓ;AC;8° 8' 27'' S;70° 20' 50'' W;120 m;VFR Diurno
SNOX;ORIXIMINÁ;ORIXIMINÁ;PA;1° 42' 49'' S;55° 50' 9'' W;80 m;VFR Diurno
SNPA;PARÁ DE MINAS;PARÁ DE MINAS;MG;19° 50' 34'' S;44° 36' 4'' W;792 m;VFR Diurno
SNPC;PICOS;PICOS;PI;7° 3' 55'' S;41° 31' 10'' W;320 m;VFR Diurno
SNPD;PATOS DE MINAS;PATOS DE MINAS;MG;18° 40' 20'' S;46° 29' 29'' W;851 m;VFR Diurno/Noturno
SNPE;FREITAS MELRO;PENEDO;AL;10° 16' 2'' S;36° 34' 1'' W;60 m;VFR Diurno
SNPI;PIATÃ;PIATÃ;BA;13° 9' 56'' S;41° 46' 19'' W;1267 m;VFR Diurno
SNPJ;PATROCÍNIO;PATROCÍNIO;MG;18° 54' 33'' S;46° 58' 58'' W;984 m;VFR Diurno
SNPM;PALMEIRAS;PALMEIRAS;BA;12° 30' 2'' S;41° 35' 2'' W;730 m;VFR Diurno
SNPO;TENENTE XAVIER;POMPÉU;MG;19° 12' 12'' S;45° 1' 24'' W;705 m;VFR Diurno
SNPQ;PESQUEIRA;PESQUEIRA;PE;8° 22' 27'' S;36° 38' 16'' W;630 m;VFR Diurno
SBCZ;CRUZEIRO DO SUL;CRUZEIRO DO SUL;AC;7° 35' 58'' S;72° 46' 10'' W;194 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SNPX;PIRAPORA;PIRAPORA;MG;17° 19' 1'' S;44° 51' 37'' W;551 m;VFR Diurno
SNPY;SÃO SEBASTIÃO DO PARAÍSO;SÃO SEBASTIÃO DO PARAÍSO;MG;20° 56' 57'' S;46° 59' 3'' W;948 m;VFR Diurno
SNPZ;COMANDANTE ALMIR MENDES DE OLIVEIRA;PEDRA AZUL;MG;16° 4' 2'' S;41° 10' 2'' W;800 m;VFR Diurno
SNQD;SOUSA;SOUSA;PB;6° 47' 1'' S;38° 14' 1'' W;227 m;VFR Diurno/Noturno
SNQG;CANGAPARA;FLORIANO;PI;6° 50' 46'' S;43° 4' 41'' W;210 m;VFR Diurno
SNQU;MUCUGÊ;MUCUGÊ;BA;13° 1' 54'' S;41° 26' 40'' W;1056 m;VFR Diurno
SNQV;CURVELO;CURVELO;MG;18° 45' 58'' S;44° 27' 29'' W;672 m;VFR Diurno
SNQX;QUIXADÁ;QUIXADÁ;CE;4° 58' 1'' S;39° 0' 1'' W;199 m;VFR Diurno
SNRA*;PRAINHA;APUÍ;AM;7° 13' 52'' S;60° 38' 56'' W;60 m;VFR Diurno
SNRD;PRADO;PRADO;BA;17° 21' 2'' S;39° 13' 2'' W;20 m;VFR Diurno
SNRM;REMANSO;REMANSO;BA;9° 34' 48'' S;42° 6' 57'' W;405 m;VFR Diurno
SNRP;RIO PARANAÍBA;RIO PARANAÍBA;MG;19° 12' 45'' S;46° 14' 26'' W;1145 m;VFR Diurno
SNRS;RUSSAS;RUSSAS;CE;4° 56' 21'' S;38° 0' 43'' W;35 m;VFR Diurno
SNRU;OSCAR LARANJEIRAS;CARUARU;PE;8° 17' 4'' S;36° 0' 39'' W;576 m;VFR Diurno
SNRX;RIACHÃO;RIACHÃO;MA;7° 21' 1'' S;46° 38' 2'' W;400 m;VFR Diurno
SNRZ;OLIVEIRA;OLIVEIRA;MG;20° 42' 52'' S;44° 51' 55'' W;982 m;VFR Diurno/Noturno
SNSC;SACRAMENTO;SACRAMENTO;MG;19° 53' 35'' S;47° 25' 20'' W;1002 m;VFR Diurno
SNSE;SENTO SÉ;SENTO SÉ;BA;9° 45' 27'' S;41° 51' 18'' W;398 m;VFR Diurno
SNSG;SALGUEIRO;SALGUEIRO;PE;8° 2' 48'' S;39° 8' 2'' W;469 m;VFR Diurno
SNSI;SANTA MARIA DO SUAÇUÍ;SANTA MARIA DO SUAÇUÍ;MG;18° 11' 55'' S;42° 27' 58'' W;480 m;VFR Diurno
SNSM;SALINÓPOLIS;SALINÓPOLIS;PA;0° 41' 49'' S;47° 20' 16'' W;27 m;VFR Diurno
SNSO;SERRO;SERRO;MG;18° 36' 40'' S;43° 25' 26'' W;740 m;VFR Diurno
SNSS;SALINAS;SALINAS;MG;16° 12' 28'' S;42° 19' 20'' W;763 m;VFR Diurno
SNST;SOUTO SOARES;SOUTO SOARES;BA;12° 5' 50'' S;41° 38' 26'' W;816 m;VFR Diurno
SNSW;SOURE;SOURE;PA;0° 41' 52'' S;48° 31' 10'' W;13 m;VFR Diurno
SNTF;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;BA;17° 31' 28'' S;39° 40' 6'' W;105 m;VFR Diurno/Noturno
SNTI;ÓBIDOS;ÓBIDOS;PA;1° 52' 5'' S;55° 30' 52'' W;100 m;VFR Diurno
SNTK;MONTE CARMELO;MONTE CARMELO;MG;18° 43' 2'' S;47° 28' 59'' W;885 m;VFR Diurno
SNTM;TURMALINA;TURMALINA;MG;17° 14' 2'' S;42° 44' 2'' W;882 m;VFR Diurno
SNTO;JUSCELINO KUBITSCHECK;TEÓFILO OTONI;MG;17° 53' 27'' S;41° 30' 54'' W;479 m;VFR Diurno/Noturno
SNTQ;BURITIRAMA;BURITIRAMA;BA;10° 43' 18'' S;43° 39' 13'' W;499 m;VFR Diurno
SNTR;PIRITIBA;PIRITIBA;BA;11° 44' 17'' S;40° 34' 11'' W;585 m;VFR Diurno
SNTS;PEREGRINO FILHO;PATOS;PB;7° 2' 16'' S;37° 15' 27'' W;250 m;VFR Diurno/Noturno
SNTY;CORRENTINA;CORRENTINA;BA;13° 22' 48'' S;44° 37' 19'' W;667 m;VFR Diurno
SNUB;UBÁ;UBÁ;MG;21° 7' 21'' S;42° 52' 56'' W;340 m;VFR Diurno
SNUC;AÇU;AÇU;RN;5° 35' 42'' S;36° 57' 39'' W;111 m;VFR Diurno
SNUH;SEBASTIÃO GOMES DE SOUZA;PIUMHI;MG;20° 26' 19'' S;45° 59' 34'' W;745 m;VFR Diurno
SNUI;ARAÇUAÍ;ARAÇUAÍ;MG;16° 51' 7'' S;42° 2' 46'' W;360 m;VFR Diurno
SNUN;UNAÍ;UNAÍ;MG;16° 21' 14'' S;46° 55' 37'' W;609 m;VFR Diurno
SNUT;UTINGA;UTINGA;BA;12° 6' 20'' S;41° 4' 28'' W;598 m;VFR Diurno
SNUY;BURITIS;BURITIS;MG;15° 37' 54'' S;46° 25' 43'' W;570 m;VFR Diurno
SNVB;VALENÇA;VALENÇA;BA;13° 17' 47'' S;38° 59' 33'' W;5 m;VFR Diurno/Noturno
SNVC;VIÇOSA;VIÇOSA;MG;20° 44' 41'' S;42° 50' 31'' W;659 m;VFR Diurno
SNVD;SANTA MARIA DA VITÓRIA;SANTA MARIA DA VITÓRIA;BA;13° 24' 17'' S;44° 13' 23'' W;465 m;VFR Diurno
SNVI;MELLO VIANA;TRÊS CORAÇÕES;MG;21° 47' 26'' S;45° 16' 9'' W;985 m;VFR Diurno
SNVS;BREVES;BREVES;PA;1° 38' 11'' S;50° 26' 36'' W;30 m;VFR Diurno
SNVV;VALENTE;VALENTE;BA;11° 24' 40'' S;39° 26' 36'' W;403 m;VFR Diurno
SNWC;CAMOCIM;CAMOCIM;CE;2° 53' 48'' S;40° 51' 25'' W;18,1 m;VFR Diurno/Noturno
SNWS;CRATEÚS;CRATEÚS;CE;5° 12' 40'' S;40° 42' 15'' W;315 m;VFR Diurno/Noturno
SNXA;MACHADO;MACHADO;MG;21° 40' 41'' S;45° 50' 28'' W;905 m;VFR Diurno
SNXB;CAXAMBU;CAXAMBU;MG;21° 55' 3'' S;44° 58' 10'' W;865 m;VFR Diurno/Noturno
SNXQ;XIQUE-XIQUE;XIQUE-XIQUE;BA;10° 50' 3'' S;42° 41' 0'' W;427 m;VFR Diurno
SNXW;CHAVES;CHAVES;PA;0° 12' 1'' S;49° 58' 2'' W;6 m;VFR Diurno
SNYA;ALMEIRIM;ALMEIRIM;PA;1° 28' 45'' S;52° 34' 41'' W;178 m;VFR Diurno
SNYB;TITO TEIXEIRA;ITUIUTABA;MG;19° 0' 7'' S;49° 29' 14'' W;605 m;VFR Diurno
