airport;airportname;city;state;latitude;longitude;altitude;operation
SBEK;JACAREACANGA;JACAREACANGA;PA;6° 14' 7'' S;57° 46' 33'' W;99 m;VFR Diurno e IFR Diurno
SBFI;CATARATAS;FOZ DO IGUAÇU;PR;25° 36' 1'' S;54° 29' 6'' W;239 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBFL;HERCÍLIO LUZ;FLORIANÓPOLIS;SC;27° 40' 13'' S;48° 33' 9'' W;5 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBFN;FERNANDO DE NORONHA;FERNANDO DE NORONHA;PE;3° 51' 17'' S;32° 25' 42'' W;58 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBFZ;PINTO MARTINS;FORTALEZA;CE;3° 46' 33'' S;38° 31' 56'' W;25 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO/GALEÃO – ANTONIO CARLOS JOBIM;RIO DE JANEIRO;RJ;22° 48' 36'' S;43° 15' 2'' W;9 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBGM;GUAJARÁ-MIRIM;GUAJARÁ-MIRIM;RO;10° 47' 18'' S;65° 16' 54'' W;146 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBGO;SANTA GENOVEVA/GOIÂNIA;GOIÂNIA;GO;16° 37' 47'' S;49° 13' 36'' W;747 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;GUARULHOS;SP;23° 26' 8'' S;46° 28' 23'' W;750 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBGU;TANCREDO THOMAS DE FARIA;GUARAPUAVA;PR;25° 23' 17'' S;51° 31' 18'' W;1065 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBGV;CORONEL ALTINO MACHADO;GOVERNADOR VALADARES;MG;18° 53' 49'' S;41° 59' 10'' W;171 m;VFR Diurno/Noturno
SBGW;GUARATINGUETÁ;GUARATINGUETÁ;SP;22° 47' 30'' S;45° 12' 16'' W;537 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBHT;ALTAMIRA;ALTAMIRA;PA;3° 15' 3'' S;52° 15' 8'' W;112 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBIC;ITACOATIARA;ITACOATIARA;AM;3° 7' 35'' S;58° 28' 54'' W;43 m;VFR Diurno e IFR Diurno
SBIH;ITAITUBA;ITAITUBA;PA;4° 14' 32'' S;56° 0' 3'' W;33 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBIL;BAHIA - JORGE AMADO;ILHÉUS;BA;14° 48' 54'' S;39° 2' 0'' W;4 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBIP;USIMINAS;SANTANA DO PARAÍSO;MG;19° 28' 14'' S;42° 29' 17'' W;239 m;VFR Diurno e IFR Diurno/Noturno
SBIZ;PREFEITO RENATO MOREIRA;IMPERATRIZ;MA;5° 31' 50'' S;47° 27' 30'' W;131 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBJC;BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA;BELÉM;PA;1° 24' 54'' S;48° 27' 32'' W;16 m;VFR Diurno
SBJD;AEROPORTO ESTADUAL DE JUNDIAÍ;JUNDIAÍ;SP;23° 10' 54'' S;46° 56' 37'' W;757 m;VFR Diurno/Noturno
SBJF;FRANCISCO DE ASSIS;JUIZ DE FORA;MG;21° 47' 35'' S;43° 23' 8'' W;911 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBJI;JI-PARANÁ;JI-PARANÁ;RO;10° 52' 14'' S;61° 50' 48'' W;182 m;VFR Diurno/Noturno
SBJP;PRESIDENTE CASTRO PINTO;JOÃO PESSOA;PB;7° 8' 54'' S;34° 57' 1'' W;66 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBJR;JACAREPAGUÁ/RJ - Roberto Marinho;RIO DE JANEIRO;RJ;22° 59' 15'' S;43° 22' 12'' W;3 m;VFR Diurno/Noturno
SBJU;ORLANDO BEZERRA DE MENEZES;JUAZEIRO DO NORTE;CE;7° 13' 6'' S;39° 16' 18'' W;424 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBJV;LAURO CARNEIRO DE LOYOLA;JOINVILLE;SC;26° 13' 23'' S;48° 47' 52'' W;4 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBKG;PRESIDENTE JOÃO SUASSUNA;CAMPINA GRANDE;PB;7° 16' 9'' S;35° 53' 42'' W;502 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBKP;VIRACOPOS;CAMPINAS;SP;23° 0' 25'' S;47° 8' 4'' W;661 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBLE;HORÁCIO DE MATTOS;LENÇÓIS;BA;12° 28' 56'' S;41° 16' 37'' W;506 m;VFR Diurno/Noturno
SBLJ;LAGES;LAGES;SC;27° 46' 56'' S;50° 16' 54'' W;934 m;VFR Diurno/Noturno e IFR Diurno/Noturno
SBLO;GOVERNADOR JOSÉ RICHA;LONDRINA;PR;23° 19' 49'' S;51° 8' 12'' W;569 m;VFR Diurno/Noturno e IFR Diurno/Noturno
