year,month,day,weather-event,tempC-high,tempC-avg,tempC-low,dewpoint-high,dewpoint-avg,dewpoint-low,humidity-perc-high,humidity-perc-avg,humidity-perc-low,sealevelpress-high,sealevelpress-avg,sealevelpress-low,visibilty-km-high,visibilty-km-avg,visibilty-km-low,wind-km-h-high,wind-km-h-avg,precipitation-mm-high,precipitation-mm-sum
2016,1,1,"Rain , Thunderstorm",30,26,21,22,21,20,100,84,55,1016,1014,1012,10,10,8,21,10,-,0.00
2016,1,2,"Rain , Thunderstorm",28,24,22,23,21,20,100,87,66,1017,1015,1013,10,9,3,24,10,45,0.00
2016,1,3,Rain,26,23,22,22,20,19,89,82,69,1017,1015,1013,10,10,8,26,14,-,0.00
2016,1,4,,28,24,20,19,18,17,83,70,54,1017,1016,1013,10,10,10,32,19,-,0.00
2016,1,5,,31,24,19,19,17,14,83,61,35,1020,1017,1014,10,10,10,29,16,-,0.00
2016,1,6,,31,24,19,18,17,14,94,63,35,1017,1015,1012,10,10,10,26,18,-,0.00
2016,1,7,Thunderstorm,33,27,20,19,17,14,83,57,31,1015,1013,1010,10,10,10,21,14,-,0.00
2016,1,8,"Rain , Thunderstorm",33,27,21,21,18,17,83,62,40,1015,1012,1010,10,10,10,26,14,-,0.00
2016,1,9,"Rain , Thunderstorm",30,26,22,22,21,19,100,79,51,1017,1015,1014,10,10,4,27,16,50,0.00
2016,1,10,Rain,27,24,22,24,22,19,100,90,61,1017,1015,1012,10,9,2,32,14,-,0.00
2016,1,11,Rain,24,22,21,23,22,21,100,97,89,1016,1014,1011,10,8,4,24,16,-,0.00
2016,1,12,Rain,23,22,21,23,22,21,100,100,100,1013,1012,1010,10,5,2,23,14,-,0.00
2016,1,13,"Rain , Thunderstorm",28,24,22,23,22,21,100,87,70,1012,1010,1009,10,10,10,16,13,-,0.00
2016,1,14,"Rain , Thunderstorm",29,26,22,23,22,20,100,92,58,1012,1011,1010,10,8,2,27,11,-,0.00
2016,1,15,"Rain , Thunderstorm",24,22,21,24,21,2,100,92,27,1013,1011,1009,10,6,1,23,13,-,0.00
2016,1,16,,27,23,19,19,17,14,88,70,51,1014,1012,1011,10,10,10,34,23,-,0.00
2016,1,17,,28,22,17,16,14,13,82,64,42,1015,1014,1012,10,10,10,34,23,52,0.00
2016,1,18,,28,23,19,17,16,15,83,69,51,1016,1013,1012,10,10,10,39,24,-,0.00
2016,1,19,,26,22,19,17,16,14,78,69,57,1014,1013,1011,10,10,10,39,29,50,0.00
2016,1,20,,27,22,18,18,16,14,83,70,57,1015,1014,1012,10,10,10,37,27,-,0.00
2016,1,21,,28,23,19,16,14,12,83,60,37,1017,1015,1013,10,10,10,40,27,-,0.00
2016,1,22,,28,22,16,16,15,13,88,66,45,1018,1016,1014,10,10,10,35,23,-,0.00
2016,1,23,,31,24,18,19,16,15,83,64,40,1018,1016,1013,10,10,10,26,19,-,0.00
2016,1,24,,30,24,19,19,18,16,94,72,48,1017,1015,1013,10,10,9,19,14,-,0.00
2016,1,25,Thunderstorm,33,27,20,19,18,1,94,65,17,1018,1015,1012,10,10,10,27,11,48,0.00
2016,1,26,,33,27,21,21,19,17,94,66,40,1018,1014,1010,10,10,10,21,13,-,0.00
2016,1,27,"Rain , Thunderstorm",31,26,21,21,21,19,100,78,51,1017,1014,1012,10,9,1,27,11,-,0.00
2016,1,28,,30,26,21,21,21,19,100,79,51,1017,1016,1013,10,10,10,34,18,-,0.00
2016,1,29,"Rain , Thunderstorm",28,24,21,22,20,18,94,80,54,1019,1017,1016,10,9,4,27,13,48,0.00
2016,1,30,Rain,31,26,22,22,21,18,100,77,46,1020,1018,1016,10,9,3,26,10,-,0.00
2016,1,31,,33,27,21,21,16,10,94,57,24,1020,1018,1016,10,10,10,23,11,-,0.00
2016,2,1,,33,27,20,18,16,13,83,53,29,1021,1018,1016,10,10,10,23,11,-,0.00
2016,2,2,,35,28,22,20,18,13,88,59,26,1019,1016,1014,10,9,6,27,13,35,0.00
2016,2,3,,35,28,21,21,18,13,88,60,26,1017,1015,1012,10,10,9,29,19,47,0.00
2016,2,4,"Rain , Thunderstorm",31,26,22,21,19,18,88,69,46,1019,1016,1014,10,10,8,23,14,-,0.00
2016,2,5,"Rain , Thunderstorm",34,27,21,21,19,16,100,72,34,1020,1018,1016,10,9,2,37,13,53,0.00
2016,2,6,"Rain , Thunderstorm",29,24,21,22,21,20,100,86,58,1020,1019,1017,10,7,1,32,13,55,0.00
2016,2,7,"Rain , Thunderstorm",31,26,21,22,20,18,100,80,49,1020,1018,1014,10,8,3,27,13,-,0.00
2016,2,8,"Rain , Thunderstorm",31,26,20,21,20,18,100,77,46,1020,1019,1016,10,10,6,24,11,-,0.00
2016,2,9,,32,26,21,22,20,18,100,72,43,1021,1019,1016,10,10,10,19,10,-,0.00
2016,2,10,Thunderstorm,33,27,22,22,20,17,94,68,38,1019,1017,1015,10,10,10,16,10,-,0.00
2016,2,11,,31,26,22,22,21,20,94,76,52,1019,1016,1013,10,10,8,27,13,-,0.00
2016,2,12,,31,24,19,20,17,14,94,66,35,1017,1015,1013,10,10,10,29,18,-,0.00
2016,2,13,,32,26,19,20,18,16,88,66,40,1015,1014,1012,10,10,10,24,18,-,0.00
2016,2,14,,34,27,21,21,19,15,94,67,32,1015,1014,1011,10,9,6,21,14,-,0.00
2016,2,15,"Rain , Thunderstorm",32,26,20,22,20,18,100,75,46,1017,1015,1013,10,9,4,24,13,47,0.00
2016,2,16,"Rain , Thunderstorm",29,24,21,21,20,18,100,81,51,1019,1017,1015,10,10,10,23,10,-,0.00
2016,2,17,"Rain , Thunderstorm",31,26,21,22,20,2,100,82,25,1018,1016,1014,10,9,2,39,10,64,0.00
2016,2,18,Thunderstorm,31,26,21,22,21,19,100,79,49,1018,1016,1013,10,10,10,26,10,-,0.00
2016,2,19,"Rain , Thunderstorm",32,26,21,22,21,19,100,81,49,1018,1015,1013,10,9,2,34,11,58,0.00
2016,2,20,Thunderstorm,30,26,21,22,21,19,100,78,51,1017,1015,1013,10,10,10,23,10,-,0.00
2016,2,21,"Rain , Thunderstorm",26,23,20,22,21,19,100,93,69,1018,1016,1014,10,9,3,23,8,-,0.00
2016,2,22,Rain,26,23,20,23,21,20,100,91,69,1018,1016,1014,10,9,6,19,10,-,0.00
2016,2,23,Rain,25,23,21,21,19,2,100,83,24,1021,1019,1017,10,10,8,19,10,-,0.00
2016,2,24,"Rain , Thunderstorm",28,24,20,21,20,19,100,89,58,1019,1018,1016,10,8,1,34,10,53,0.00
2016,2,25,"Rain , Thunderstorm",30,25,20,21,19,16,100,76,43,1017,1015,1012,10,9,5,26,6,-,0.00
2016,2,26,"Rain , Thunderstorm",31,26,20,23,21,19,100,82,49,1017,1014,1012,10,9,2,21,10,-,0.00
2016,2,27,"Rain , Thunderstorm",27,23,21,22,21,20,100,87,70,1019,1016,1014,10,8,2,16,8,-,0.00
2016,2,28,"Rain , Thunderstorm",28,24,21,23,22,20,100,93,62,1020,1017,1015,10,8,1,32,11,47,0.00
2016,2,29,"Fog , Rain",25,22,19,22,19,16,100,84,61,1022,1019,1018,10,10,9,32,13,-,0.00
2016,3,1,Rain,21,19,17,20,18,17,100,97,88,1022,1020,1018,10,7,2,27,18,-,0.00
2016,3,2,"Rain , Thunderstorm",28,23,19,20,19,18,100,90,62,1020,1017,1015,10,9,1,37,16,74,0.00
2016,3,3,"Rain , Thunderstorm",25,22,19,22,21,19,100,93,78,1015,1013,1011,10,8,2,32,16,50,0.00
2016,3,4,"Rain , Thunderstorm",29,24,20,22,19,18,100,80,51,1014,1012,1010,10,10,9,23,16,-,0.00
2016,3,5,"Rain , Thunderstorm",30,24,19,21,19,17,100,76,48,1017,1015,1014,10,10,6,24,11,-,0.00
